Ranking references with a star rating ,Downloading references from bibliographic databases websites ,Searching databases and websites from within JabRef ,Sorting references into groups ,Writing Comments on references ,Replacing strings in references ,Adding reference based on PDF metadata ,Adding a PDF URL to a reference ,Editing reference details  e g author  year  ,Editing document type ,Renaming attached PDFs according to a pattern ,Adding new details to reference  e g  ISBN  page numbers  ,Cleaning up references automatically ,Viewing PDF in JabRef ,Checking formal correctness of references ,Merging two references into one ,Deleting references ,Searching for duplicate references ,Sorting PDFs into subfolders ,Downloading references from a shared database ,Uploading references to a shared database ,Exporting references in standard data formats  e g   RIS  BibTe  ,Directly exporting references to text processing software ,Changing Preferences ,Are.there.any.features.of.JabRef.that.you.often.use..which.were.not.listed.already.,Are.there.any.JabRef.features.or.functions..with.which.you.have.trouble.using..or.which.frustrate.you..If.so..please.state.the.feature.and.what.is.wrong.with.it.,Please.select.your.occupation.,What.text.processing.software.do.you.use.the.most.in.combination.with.JabRef.,How.many.references.does.your.biggest.JabRef.library.have..approximately..,Select.the.version.of.JabRef..that.you.use.at.the.moment...
not important at all,absolutely crucial,absolutely crucial,pretty important,somewhat important,somewhat important,absolutely crucial,absolutely crucial,absolutely crucial,somewhat important,absolutely crucial,absolutely crucial,not important at all,not very important,pretty important,not very important,absolutely crucial,somewhat important,pretty important,absolutely crucial,not very important,absolutely crucial,somewhat important,absolutely crucial,"","",Non-Academic Researcher,LaTeX/LyX,150,4.3.1
not important at all,not important at all,not important at all,somewhat important,absolutely crucial,I DON'T KNOW THE FEATURE,not very important,not very important,absolutely crucial,somewhat important,not important at all,pretty important,somewhat important,not very important,somewhat important,not very important,somewhat important,somewhat important,not important at all,not very important,not very important,pretty important,pretty important,pretty important,"",I'd like to be able to search for keywords in the abstract and the results to be highlighted.,PhD Student/PostDoc,LaTeX/LyX,350,4.2
somewhat important,pretty important,not very important,somewhat important,pretty important,somewhat important,pretty important,pretty important,pretty important,somewhat important,pretty important,pretty important,somewhat important,pretty important,pretty important,pretty important,not very important,absolutely crucial,somewhat important,pretty important,pretty important,absolutely crucial,pretty important,not very important,"","",PhD Student/PostDoc,Microsoft Word,60,4.3.1
not very important,pretty important,pretty important,absolutely crucial,not very important,not very important,not important at all,absolutely crucial,absolutely crucial,absolutely crucial,not important at all,absolutely crucial,somewhat important,not very important,pretty important,pretty important,absolutely crucial,pretty important,somewhat important,not very important,not very important,somewhat important,not very important,somewhat important,"","",Student (Bachelor/Master),LaTeX/LyX,150,4.3.1
not important at all,pretty important,somewhat important,absolutely crucial,somewhat important,pretty important,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,pretty important,absolutely crucial,somewhat important,somewhat important,pretty important,somewhat important,pretty important,pretty important,somewhat important,absolutely crucial,pretty important,pretty important,absolutely crucial,somewhat important,"","",Researcher (permanent position),LaTeX/LyX,50,4.3.1
not very important,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,I DON'T KNOW THE FEATURE,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,développer en java ee pour accessibilité internet ,Compléments comme avec endnote,datalibrarian,Microsoft Word,1500,4.3.1
pretty important,absolutely crucial,not very important,absolutely crucial,pretty important,I DON'T KNOW THE FEATURE,not very important,not very important,absolutely crucial,not very important,pretty important,pretty important,absolutely crucial,absolutely crucial,absolutely crucial,not important at all,absolutely crucial,pretty important,not very important,not important at all,not important at all,pretty important,not important at all,pretty important,"","",Student (Bachelor/Master),LaTeX/LyX,300,4.3.1
not important at all,absolutely crucial,absolutely crucial,absolutely crucial,pretty important,not important at all,somewhat important,absolutely crucial,absolutely crucial,absolutely crucial,somewhat important,pretty important,somewhat important,pretty important,somewhat important,pretty important,pretty important,pretty important,not very important,pretty important,pretty important,absolutely crucial,pretty important,pretty important,"","",Non-Academic Researcher,OpenOffice/LibreOffice,800,4.3.1
not important at all,absolutely crucial,absolutely crucial,somewhat important,somewhat important,somewhat important,pretty important,pretty important,absolutely crucial,pretty important,pretty important,pretty important,pretty important,somewhat important,absolutely crucial,pretty important,absolutely crucial,absolutely crucial,somewhat important,pretty important,pretty important,pretty important,absolutely crucial,somewhat important,"",Editing references is difficult after 3.x,Researcher (permanent position),LaTeX/LyX,300,4.3.1
not very important,not very important,pretty important,absolutely crucial,absolutely crucial,I DON'T KNOW THE FEATURE,not very important,somewhat important,somewhat important,pretty important,not very important,pretty important,not important at all,not important at all,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,not important at all,not important at all,not important at all,absolutely crucial,somewhat important,I DON'T KNOW THE FEATURE,"Latex View, misc template, citing online reference","The latex templates. The misc template is old. JabRef works well with bibtex, but not with biblatex. Please support biblatex as default",PhD Student/PostDoc,LaTeX/LyX,350,4.3.1
not important at all,somewhat important,somewhat important,absolutely crucial,absolutely crucial,absolutely crucial,not very important,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,pretty important,pretty important,absolutely crucial,pretty important,absolutely crucial,absolutely crucial,absolutely crucial,somewhat important,somewhat important,absolutely crucial,absolutely crucial,absolutely crucial,"","Slow response, I do not use web search since support is poor/slow (I use web of science)",Researcher (permanent position),LaTeX/LyX,5200,4.3.1
not very important,absolutely crucial,absolutely crucial,not very important,somewhat important,pretty important,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,somewhat important,somewhat important,somewhat important,pretty important,pretty important,absolutely crucial,pretty important,absolutely crucial,pretty important,pretty important,absolutely crucial,absolutely crucial,somewhat important,"","",Researcher (permanent position),OpenOffice/LibreOffice,3500,5.0 dev
not important at all,absolutely crucial,absolutely crucial,absolutely crucial,somewhat important,not very important,not very important,pretty important,absolutely crucial,pretty important,absolutely crucial,absolutely crucial,pretty important,somewhat important,absolutely crucial,somewhat important,pretty important,absolutely crucial,not very important,somewhat important,not very important,pretty important,absolutely crucial,absolutely crucial,Customization of entry types,"Missing indication of coupled pairs of required fields (only one of the two fields is required), such as author/editor, in GUI",Researcher (permanent position),Microsoft Word,20000,4.3.1
pretty important,absolutely crucial,I DON'T KNOW THE FEATURE,absolutely crucial,absolutely crucial,absolutely crucial,somewhat important,pretty important,absolutely crucial,absolutely crucial,pretty important,absolutely crucial,I DON'T KNOW THE FEATURE,absolutely crucial,absolutely crucial,I DON'T KNOW THE FEATURE,absolutely crucial,absolutely crucial,pretty important,pretty important,pretty important,absolutely crucial,absolutely crucial,absolutely crucial,Using colours to group references by type.,"Not a feature, but the latest installation for Mac doesn't work. I'm using the platform independent JAR instead.",PhD Student/PostDoc,LaTeX/LyX,73,4.3.1
somewhat important,absolutely crucial,not very important,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,pretty important,absolutely crucial,pretty important,somewhat important,not important at all,absolutely crucial,pretty important,somewhat important,somewhat important,not very important,somewhat important,somewhat important,somewhat important,not important at all,pretty important,"","",PhD Student/PostDoc,LaTeX/LyX,300,3.8.1
not very important,pretty important,somewhat important,somewhat important,somewhat important,somewhat important,absolutely crucial,pretty important,absolutely crucial,not important at all,pretty important,absolutely crucial,not important at all,not important at all,not important at all,absolutely crucial,absolutely crucial,absolutely crucial,somewhat important,absolutely crucial,not important at all,absolutely crucial,absolutely crucial,absolutely crucial,keywords - would be fine to be able to use multilingual thesauri (one identity number for a keyword in several languages,"keywords are pretty senseless for me, poor implementation, must be multilingual",Researcher (permanent position),OpenOffice/LibreOffice,4500,4.3
not important at all,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,somewhat important,absolutely crucial,"","",Non-Academic Researcher,Microsoft Word,5000,4.3.1
not very important,absolutely crucial,somewhat important,absolutely crucial,not very important,I DON'T KNOW THE FEATURE,somewhat important,absolutely crucial,absolutely crucial,pretty important,absolutely crucial,absolutely crucial,pretty important,pretty important,absolutely crucial,not very important,absolutely crucial,pretty important,not very important,not important at all,not important at all,pretty important,not important at all,not very important,"","",PhD Student/PostDoc,LaTeX/LyX,300,4.3.1
not important at all,pretty important,not important at all,pretty important,somewhat important,somewhat important,not important at all,somewhat important,somewhat important,not important at all,not very important,somewhat important,pretty important,not important at all,pretty important,not very important,not very important,not very important,not important at all,not important at all,not important at all,absolutely crucial,not important at all,absolutely crucial,"","",PhD Student/PostDoc,LaTeX/LyX,150,4.3.1
somewhat important,not very important,not very important,pretty important,pretty important,I DON'T KNOW THE FEATURE,not very important,absolutely crucial,absolutely crucial,I DON'T KNOW THE FEATURE,not very important,absolutely crucial,somewhat important,I DON'T KNOW THE FEATURE,pretty important,somewhat important,absolutely crucial,pretty important,not important at all,not important at all,not important at all,absolutely crucial,absolutely crucial,pretty important,Read status,"",PhD Student/PostDoc,LaTeX/LyX,1000,4.3.1
not very important,pretty important,pretty important,not very important,not very important,somewhat important,somewhat important,somewhat important,absolutely crucial,pretty important,pretty important,absolutely crucial,somewhat important,pretty important,somewhat important,pretty important,pretty important,somewhat important,somewhat important,pretty important,pretty important,pretty important,pretty important,absolutely crucial,"if I own more than one copy, i would like a duplicate button. one is Signed from author for example, so i want it twice listed",author first name and last name should be two separate fields. also publisher city.,Student (Bachelor/Master),OpenOffice/LibreOffice,10,4.3.1
pretty important,absolutely crucial,absolutely crucial,pretty important,not important at all,not important at all,not very important,absolutely crucial,absolutely crucial,pretty important,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,somewhat important,absolutely crucial,absolutely crucial,somewhat important,somewhat important,somewhat important,somewhat important,absolutely crucial,pretty important,"","",PhD Student/PostDoc,LaTeX/LyX,3000,4.3.1
somewhat important,pretty important,absolutely crucial,somewhat important,somewhat important,somewhat important,I DON'T KNOW THE FEATURE,pretty important,absolutely crucial,absolutely crucial,I DON'T KNOW THE FEATURE,somewhat important,absolutely crucial,not very important,I DON'T KNOW THE FEATURE,absolutely crucial,absolutely crucial,absolutely crucial,I DON'T KNOW THE FEATURE,pretty important,pretty important,absolutely crucial,somewhat important,absolutely crucial,"","",PhD Student/PostDoc,vim,60,4.3.1
not very important,absolutely crucial,not very important,absolutely crucial,somewhat important,somewhat important,pretty important,absolutely crucial,absolutely crucial,somewhat important,absolutely crucial,absolutely crucial,not very important,not very important,somewhat important,pretty important,pretty important,pretty important,absolutely crucial,pretty important,somewhat important,absolutely crucial,absolutely crucial,somewhat important,Adding references via browser plugin,its oss - so im patient,Pharmaceutical Industry,preferable Latex - but my company uses Libreoffice,1000,3.8.2
not important at all,pretty important,not important at all,absolutely crucial,pretty important,somewhat important,somewhat important,absolutely crucial,absolutely crucial,pretty important,absolutely crucial,pretty important,somewhat important,not important at all,somewhat important,pretty important,pretty important,somewhat important,absolutely crucial,pretty important,pretty important,somewhat important,pretty important,somewhat important,"usage of shared database for entries, references on nas/dav or similar non-local drive, give read only access for subcollection (not whole) to external",interface is not very good looking - but then again: inner values,Non-Academic Researcher,OpenOffice/LibreOffice,3000,3.8.2
not important at all,somewhat important,not important at all,absolutely crucial,somewhat important,somewhat important,somewhat important,absolutely crucial,pretty important,somewhat important,absolutely crucial,somewhat important,somewhat important,not very important,somewhat important,somewhat important,pretty important,somewhat important,absolutely crucial,pretty important,pretty important,pretty important,pretty important,somewhat important,"","",Non-Academic Researcher,LaTeX/LyX,1000,3.8.2
not important at all,not important at all,absolutely crucial,pretty important,absolutely crucial,not very important,pretty important,somewhat important,absolutely crucial,pretty important,I DON'T KNOW THE FEATURE,absolutely crucial,I DON'T KNOW THE FEATURE,not important at all,absolutely crucial,not important at all,absolutely crucial,pretty important,I DON'T KNOW THE FEATURE,not very important,not very important,absolutely crucial,absolutely crucial,I DON'T KNOW THE FEATURE,"","",Researcher (permanent position),LaTeX/LyX,20,4.3
not important at all,absolutely crucial,not very important,somewhat important,not very important,pretty important,somewhat important,absolutely crucial,absolutely crucial,pretty important,absolutely crucial,absolutely crucial,somewhat important,pretty important,pretty important,not very important,somewhat important,absolutely crucial,not very important,not very important,not very important,absolutely crucial,not very important,pretty important,"","",Researcher (permanent position),LaTeX/LyX,2000,2.10
not very important,pretty important,not very important,pretty important,pretty important,not very important,not very important,absolutely crucial,absolutely crucial,absolutely crucial,pretty important,absolutely crucial,not very important,not very important,not very important,not very important,absolutely crucial,not very important,not very important,not very important,not very important,absolutely crucial,pretty important,absolutely crucial,"","",Research Software Engineer (permanent),LaTeX/LyX,300,I don't know
not important at all,pretty important,somewhat important,not very important,absolutely crucial,somewhat important,somewhat important,absolutely crucial,pretty important,somewhat important,not very important,pretty important,not very important,somewhat important,somewhat important,pretty important,pretty important,absolutely crucial,not very important,absolutely crucial,not very important,pretty important,not very important,somewhat important,"","",Researcher (permanent position),LaTeX/LyX,1000,4.3.1
not very important,pretty important,pretty important,somewhat important,pretty important,pretty important,not very important,somewhat important,pretty important,I DON'T KNOW THE FEATURE,pretty important,pretty important,somewhat important,I DON'T KNOW THE FEATURE,pretty important,somewhat important,not very important,not very important,I DON'T KNOW THE FEATURE,pretty important,somewhat important,pretty important,pretty important,somewhat important,"","",Student (Bachelor/Master),LaTeX/LyX,70,4.3.1
not very important,somewhat important,somewhat important,not very important,not very important,not very important,pretty important,pretty important,pretty important,I DON'T KNOW THE FEATURE,pretty important,pretty important,not important at all,not very important,somewhat important,not very important,somewhat important,somewhat important,not important at all,pretty important,not important at all,absolutely crucial,absolutely crucial,somewhat important,"A Word Add-In would be very nice, for Windows and Mac.","",Researcher (permanent position),LaTeX/LyX,100,4.3.1
pretty important,absolutely crucial,absolutely crucial,absolutely crucial,pretty important,somewhat important,somewhat important,absolutely crucial,absolutely crucial,I DON'T KNOW THE FEATURE,absolutely crucial,pretty important,pretty important,not very important,somewhat important,pretty important,pretty important,pretty important,not very important,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,absolutely crucial,absolutely crucial,absolutely crucial,"",Jabfox with Firefox to find and import new references and automatically attach PDFs. Unfortunately this is not working anymore under Linux after the switch to the new Firefox quantum add on/extension system ,Researcher (permanent position),LaTeX/LyX,3000,5.0 dev
pretty important,pretty important,pretty important,absolutely crucial,not very important,somewhat important,not very important,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,pretty important,not important at all,absolutely crucial,not very important,not very important,somewhat important,not important at all,not important at all,not important at all,somewhat important,somewhat important,absolutely crucial,"","",Researcher (permanent position),LaTeX/LyX,600,4.3.1
pretty important,absolutely crucial,somewhat important,absolutely crucial,somewhat important,not very important,absolutely crucial,absolutely crucial,absolutely crucial,not very important,absolutely crucial,absolutely crucial,absolutely crucial,not very important,absolutely crucial,absolutely crucial,somewhat important,absolutely crucial,absolutely crucial,somewhat important,somewhat important,absolutely crucial,not very important,somewhat important,Automatic keywords creation,html to latex code is not optimised (not even in Mendeley) I would like to have an automated script that convert html symbols to latex without my intervention,Researcher non permanent,LaTeX/LyX,1000,4.3.1
somewhat important,absolutely crucial,somewhat important,pretty important,not very important,absolutely crucial,somewhat important,absolutely crucial,absolutely crucial,pretty important,absolutely crucial,somewhat important,not very important,not very important,pretty important,somewhat important,somewhat important,somewhat important,pretty important,pretty important,I DON'T KNOW THE FEATURE,somewhat important,pretty important,absolutely crucial,"","When adding a new reference, it is necessary to change of group and then come back and the group where the reference is to see it. Same for the automatic link with the corresponding file.
",PhD Student/PostDoc,/,750,4.3.1
not important at all,pretty important,not important at all,absolutely crucial,not important at all,absolutely crucial,not important at all,absolutely crucial,absolutely crucial,absolutely crucial,not important at all,absolutely crucial,not important at all,absolutely crucial,I DON'T KNOW THE FEATURE,not important at all,absolutely crucial,absolutely crucial,not important at all,not important at all,not important at all,absolutely crucial,not very important,I DON'T KNOW THE FEATURE,"","",PhD Student/PostDoc,LaTeX/LyX,2500,4.3
not very important,absolutely crucial,pretty important,pretty important,absolutely crucial,not important at all,not very important,pretty important,pretty important,pretty important,pretty important,pretty important,pretty important,not very important,pretty important,somewhat important,pretty important,somewhat important,not very important,pretty important,pretty important,absolutely crucial,pretty important,pretty important,"","",PhD Student/PostDoc,LaTeX/LyX,200,4.3.1
absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,I DON'T KNOW THE FEATURE,somewhat important,absolutely crucial,absolutely crucial,I DON'T KNOW THE FEATURE,absolutely crucial,absolutely crucial,absolutely crucial,not important at all,I DON'T KNOW THE FEATURE,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,not important at all,absolutely crucial,absolutely crucial,I DON'T KNOW THE FEATURE,"","",PhD Student/PostDoc,LaTeX/LyX,200,4.3.1
somewhat important,absolutely crucial,absolutely crucial,absolutely crucial,pretty important,somewhat important,pretty important,pretty important,absolutely crucial,pretty important,pretty important,absolutely crucial,pretty important,pretty important,absolutely crucial,absolutely crucial,somewhat important,pretty important,pretty important,absolutely crucial,not very important,somewhat important,pretty important,somewhat important,"","JabRef hangs quite often or runs with very high CPU load (e.g. when an open bib file gets updated externally and in many other occasions; example 47% CPU load). There are many situations where the program crashes. The Web Search feature is very bad. Very often it doesn't work at all and no message appears what has gone wrong. When running in debug mode, often silent exceptions occur when performing the web search. But exceptions also occur in other very common actions. Searching with google scholar, sometimes a message shows up that the maximum amount of queries has been reached, then nothing works any more. Better tagging of references should be possible. Grouping references needs major improvements and should be possible more intuitively. The performance of JabRef's interface in not that good, it is a bit lagging. Even switching between the menus on top is slow, which should not be the case. Fetching references of identifiers (like DOI, ISBN) needs improvement. Managing and handling file attachments is unnecessarily clumsy. There should be more hints (e.g. popups) how the input for a field should be formatted. More feedback should be provided about what is wrong with an input. Maybe some example would also be useful. Searching the library should be improved. Finding references as well as similar references needs improvement. I think, those are my major reasons, why I cannot use this program for productive use, although I really would love to use it. :( I hope, it will get improved in many ways.",PhD Student/PostDoc,LaTeX/LyX,60,4.3.1
not very important,not very important,not important at all,somewhat important,absolutely crucial,not very important,not very important,somewhat important,absolutely crucial,absolutely crucial,not very important,absolutely crucial,somewhat important,somewhat important,somewhat important,not very important,pretty important,not very important,not very important,not very important,not very important,absolutely crucial,absolutely crucial,absolutely crucial,"",search function for specific fields (abstract) that highlights text would be great,PhD Student/PostDoc,LaTeX/LyX,350,4.2
not important at all,absolutely crucial,pretty important,somewhat important,somewhat important,I DON'T KNOW THE FEATURE,absolutely crucial,somewhat important,absolutely crucial,pretty important,pretty important,absolutely crucial,pretty important,somewhat important,absolutely crucial,pretty important,pretty important,pretty important,somewhat important,not very important,not very important,absolutely crucial,pretty important,somewhat important,"",Adding a reference by DOI or ISBN and/or double checking reference information vs DOI or ISBN.,PhD Student/PostDoc,LaTeX/LyX,100,4.3.1
not important at all,pretty important,not very important,absolutely crucial,somewhat important,somewhat important,absolutely crucial,absolutely crucial,absolutely crucial,somewhat important,absolutely crucial,pretty important,pretty important,somewhat important,somewhat important,pretty important,pretty important,pretty important,absolutely crucial,pretty important,pretty important,pretty important,absolutely crucial,somewhat important,"Yes - adding references from outside jabref - like with a browser extension. Maybe jabref/jabfox can work together with zotero on this and the same extension can be used for both. I am not a programmer - but as both extensions would fullfill the same purpose - and ""just"" give the info to software a or b - maybe joint effort will benefit both while lowering the workload for that.",Quite new - maybe this will pile up. Then again its open source. So i am fine with flaws.,Non-Academic Researcher,OpenOffice/LibreOffice,1000,3.8.2
not important at all,somewhat important,not important at all,absolutely crucial,absolutely crucial,pretty important,not important at all,absolutely crucial,absolutely crucial,not important at all,somewhat important,pretty important,not very important,not important at all,somewhat important,not very important,somewhat important,somewhat important,not important at all,not important at all,not important at all,somewhat important,not important at all,somewhat important,"","search function, always perform wrong autocompletion",PhD Student/PostDoc,LaTeX/LyX,1050,4.3.1
not important at all,somewhat important,not very important,absolutely crucial,not important at all,pretty important,pretty important,absolutely crucial,pretty important,somewhat important,absolutely crucial,pretty important,somewhat important,not very important,somewhat important,somewhat important,somewhat important,pretty important,absolutely crucial,somewhat important,somewhat important,not very important,not very important,somewhat important,"","",Non-Academic Researcher,OpenOffice/LibreOffice,2000,4.3.1
not very important,absolutely crucial,pretty important,absolutely crucial,absolutely crucial,pretty important,pretty important,absolutely crucial,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,absolutely crucial,I DON'T KNOW THE FEATURE,not very important,pretty important,somewhat important,pretty important,absolutely crucial,somewhat important,not important at all,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,This answer would require an in-depth analysis.  I have been a UX design consultant  for 25+ years & would be glad to provide input for this answer and other things outside this survey. ,YES!  Defining the UX tabs and the fields to modify an entry type. It is so troublesome that I now edit my entry fields directly in the .bib text file! I am currently exploring to find the files that will let me edit the type definitions directly.,Researcher (permanent position),LaTeX/LyX,3600,4.3.1
absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,not important at all,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,"","",Student (Bachelor/Master),LaTeX/LyX,250,4.3.1
not important at all,absolutely crucial,not important at all,pretty important,not very important,not very important,somewhat important,absolutely crucial,absolutely crucial,not important at all,not important at all,absolutely crucial,absolutely crucial,not very important,pretty important,absolutely crucial,absolutely crucial,absolutely crucial,not important at all,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,somewhat important,absolutely crucial,absolutely crucial,"",Integration with MS Office (Office 365) is what frustrates me the most.,PhD Student/PostDoc,Microsoft Word,1000,4.3.1
not very important,not very important,somewhat important,not very important,pretty important,not very important,somewhat important,absolutely crucial,absolutely crucial,somewhat important,absolutely crucial,absolutely crucial,somewhat important,not very important,pretty important,pretty important,somewhat important,pretty important,I DON'T KNOW THE FEATURE,somewhat important,somewhat important,absolutely crucial,absolutely crucial,absolutely crucial,Importing references from RIS files,"Looking up journal abbreviations. Some journal are abbreviated in several divverent way, sometime differing only in punctuation.There should be a way to search through the list and copying the abbreviation (and the full journal title) to be pasted in the entry editor.",Researcher (permanent position),Microsoft Word,100,3.8.2
not important at all,pretty important,not very important,absolutely crucial,somewhat important,pretty important,pretty important,absolutely crucial,absolutely crucial,somewhat important,pretty important,somewhat important,not very important,not very important,somewhat important,somewhat important,pretty important,not very important,absolutely crucial,somewhat important,somewhat important,somewhat important,somewhat important,somewhat important,"","",Researcher (permanent position),OpenOffice/LibreOffice,5000,4.3.1
somewhat important,somewhat important,not very important,pretty important,pretty important,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,not very important,somewhat important,absolutely crucial,pretty important,somewhat important,I DON'T KNOW THE FEATURE,pretty important,pretty important,pretty important,somewhat important,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,somewhat important,absolutely crucial,absolutely crucial,Automatic attachment of linked PDFs to e-mails; this e-mail should also include the citations of theses PDFs in the text body,Usage with High DPI monitors,Researcher (permanent position),LaTeX/LyX,2000,5.0 dev
not important at all,not very important,not very important,absolutely crucial,absolutely crucial,pretty important,absolutely crucial,absolutely crucial,absolutely crucial,somewhat important,absolutely crucial,absolutely crucial,absolutely crucial,not important at all,absolutely crucial,pretty important,absolutely crucial,pretty important,not important at all,somewhat important,somewhat important,absolutely crucial,not important at all,absolutely crucial,"",UI is so ugly I want to stop using it. But it is the best.,PhD Student/PostDoc,LaTeX/LyX,50,4.3.1
not important at all,absolutely crucial,somewhat important,not very important,pretty important,somewhat important,somewhat important,absolutely crucial,absolutely crucial,absolutely crucial,somewhat important,absolutely crucial,not very important,not important at all,pretty important,not very important,pretty important,somewhat important,not important at all,pretty important,somewhat important,absolutely crucial,not important at all,absolutely crucial,"",getting references details from the web,highschool teacher,LaTeX/LyX,200,4.2
not very important,not very important,not important at all,absolutely crucial,not important at all,pretty important,I DON'T KNOW THE FEATURE,absolutely crucial,absolutely crucial,pretty important,absolutely crucial,absolutely crucial,pretty important,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,somewhat important,pretty important,pretty important,not very important,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,pretty important,I DON'T KNOW THE FEATURE,pretty important,"","",Researcher (permanent position),pandoc markdown,3000,4.3
I DON'T KNOW THE FEATURE,pretty important,not very important,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,pretty important,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,somewhat important,I DON'T KNOW THE FEATURE,pretty important,pretty important,pretty important,pretty important,pretty important,not very important,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,absolutely crucial,absolutely crucial,absolutely crucial,"","",Researcher (permanent position),LaTeX/LyX,500,4.2
somewhat important,absolutely crucial,not important at all,pretty important,absolutely crucial,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,not important at all,absolutely crucial,absolutely crucial,I DON'T KNOW THE FEATURE,not very important,not very important,absolutely crucial,absolutely crucial,somewhat important,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,pretty important,"","",Researcher (permanent position),LaTeX/LyX,20000,4.3.1
somewhat important,pretty important,pretty important,pretty important,not very important,somewhat important,somewhat important,pretty important,absolutely crucial,absolutely crucial,somewhat important,pretty important,I DON'T KNOW THE FEATURE,not important at all,absolutely crucial,somewhat important,not very important,pretty important,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,pretty important,absolutely crucial,absolutely crucial,Actually not.,"I can't fix the damn columns width to my liking, it's a damn nightmare, I move one and everything else moves, it's a headache.

I have the irmpression that JabRef is intended to be used in PCs with at least 2 those large and wide screen monitors for the amount of columns that may sometimes be required and especially for the integrity check panel that can not be sent to the background and is always on top of the screen so on a notebook or a modest PC with 1 monitor is not easy to handle. But above all the difficult thing is to be able to locate the error that reports the panel to correct it, it is necessary to check field by field to be able to find the problem and it is not always possible to solve it.",Student (Bachelor/Master),LaTeX/LyX,150,3.8.2
not very important,pretty important,absolutely crucial,not very important,somewhat important,pretty important,not very important,somewhat important,pretty important,not very important,not very important,pretty important,pretty important,not important at all,pretty important,pretty important,somewhat important,pretty important,not important at all,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,absolutely crucial,not very important,pretty important,"doi, google scholar search (was not specifically mentioned)","Google scholar search, web search in general. Often doesn't work at all.",PhD Student/PostDoc,LaTeX/LyX,50,4.3.1
not important at all,pretty important,pretty important,pretty important,not very important,absolutely crucial,pretty important,pretty important,pretty important,somewhat important,pretty important,somewhat important,somewhat important,not very important,absolutely crucial,absolutely crucial,pretty important,absolutely crucial,pretty important,pretty important,pretty important,absolutely crucial,pretty important,absolutely crucial,Umlaute,Editing multiple references; enter Umlaute by keyboard and then change to bibtex fotmant,Researcher (permanent position),LaTeX/LyX,300,4.3.1
